ModuleCmd_Switch.c(179):ERROR:152: Module 'PrgEnv-cray' is currently not loaded
Implementation:  python
Running  1024 gridpoints with  90.0 % sea_ice
Running  2048 gridpoints with  90.0 % sea_ice
Running  4096 gridpoints with  90.0 % sea_ice
Running  8192 gridpoints with  90.0 % sea_ice
Running  16384 gridpoints with  90.0 % sea_ice
Running  32768 gridpoints with  90.0 % sea_ice
Running  65536 gridpoints with  90.0 % sea_ice
Running  131072 gridpoints with  90.0 % sea_ice
Running  262144 gridpoints with  90.0 % sea_ice
Running  524288 gridpoints with  90.0 % sea_ice
Running  1048576 gridpoints with  90.0 % sea_ice
Running  2097152 gridpoints with  90.0 % sea_ice
Running  4194304 gridpoints with  90.0 % sea_ice
Running  32 gridpoints with  95.0 % sea_ice
Running  64 gridpoints with  95.0 % sea_ice
Running  128 gridpoints with  95.0 % sea_ice
Running  256 gridpoints with  95.0 % sea_ice
Running  512 gridpoints with  95.0 % sea_ice
Running  1024 gridpoints with  95.0 % sea_ice
Running  2048 gridpoints with  95.0 % sea_ice
Running  4096 gridpoints with  95.0 % sea_ice
Running  8192 gridpoints with  95.0 % sea_ice
Running  16384 gridpoints with  95.0 % sea_ice
Running  32768 gridpoints with  95.0 % sea_ice
Running  65536 gridpoints with  95.0 % sea_ice
Running  131072 gridpoints with  95.0 % sea_ice
Running  262144 gridpoints with  95.0 % sea_ice
Running  524288 gridpoints with  95.0 % sea_ice
Running  1048576 gridpoints with  95.0 % sea_ice
Running  2097152 gridpoints with  95.0 % sea_ice
Running  4194304 gridpoints with  95.0 % sea_ice
Running  32 gridpoints with  99.0 % sea_ice
Running  64 gridpoints with  99.0 % sea_ice
Running  128 gridpoints with  99.0 % sea_ice
Running  256 gridpoints with  99.0 % sea_ice
Running  512 gridpoints with  99.0 % sea_ice
Running  1024 gridpoints with  99.0 % sea_ice
Running  2048 gridpoints with  99.0 % sea_ice
Running  4096 gridpoints with  99.0 % sea_ice
Running  8192 gridpoints with  99.0 % sea_ice
Running  16384 gridpoints with  99.0 % sea_ice
Running  32768 gridpoints with  99.0 % sea_ice
Running  65536 gridpoints with  99.0 % sea_ice
Running  131072 gridpoints with  99.0 % sea_ice
Running  262144 gridpoints with  99.0 % sea_ice
Running  524288 gridpoints with  99.0 % sea_ice
Running  1048576 gridpoints with  99.0 % sea_ice
Running  2097152 gridpoints with  99.0 % sea_ice
Running  4194304 gridpoints with  99.0 % sea_ice
Running  32 gridpoints with  100 % sea_ice
Running  64 gridpoints with  100 % sea_ice
Running  128 gridpoints with  100 % sea_ice
Running  256 gridpoints with  100 % sea_ice
Running  512 gridpoints with  100 % sea_ice
Running  1024 gridpoints with  100 % sea_ice
Running  2048 gridpoints with  100 % sea_ice
Running  4096 gridpoints with  100 % sea_ice
Running  8192 gridpoints with  100 % sea_ice
Running  16384 gridpoints with  100 % sea_ice
Running  32768 gridpoints with  100 % sea_ice
Running  65536 gridpoints with  100 % sea_ice
Running  131072 gridpoints with  100 % sea_ice
Running  262144 gridpoints with  100 % sea_ice
Running  524288 gridpoints with  100 % sea_ice
Running  1048576 gridpoints with  100 % sea_ice
Running  2097152 gridpoints with  100 % sea_ice
Running  4194304 gridpoints with  100 % sea_ice
Implementation:  numpy
Running  32 gridpoints with  0.0 % sea_ice
Running  64 gridpoints with  0.0 % sea_ice
Running  128 gridpoints with  0.0 % sea_ice
Running  256 gridpoints with  0.0 % sea_ice
Running  512 gridpoints with  0.0 % sea_ice
Running  1024 gridpoints with  0.0 % sea_ice
Running  2048 gridpoints with  0.0 % sea_ice
Running  4096 gridpoints with  0.0 % sea_ice
Running  8192 gridpoints with  0.0 % sea_ice
Running  16384 gridpoints with  0.0 % sea_ice
Running  32768 gridpoints with  0.0 % sea_ice
Running  65536 gridpoints with  0.0 % sea_ice
Running  131072 gridpoints with  0.0 % sea_ice
Running  262144 gridpoints with  0.0 % sea_ice
Running  524288 gridpoints with  0.0 % sea_ice
Running  1048576 gridpoints with  0.0 % sea_ice
Running  2097152 gridpoints with  0.0 % sea_ice
Running  4194304 gridpoints with  0.0 % sea_ice
Running  32 gridpoints with  1.0 % sea_ice
Running  64 gridpoints with  1.0 % sea_ice
Running  128 gridpoints with  1.0 % sea_ice
Running  256 gridpoints with  1.0 % sea_ice
Running  512 gridpoints with  1.0 % sea_ice
Running  1024 gridpoints with  1.0 % sea_ice
Running  2048 gridpoints with  1.0 % sea_ice
Running  4096 gridpoints with  1.0 % sea_ice
Running  8192 gridpoints with  1.0 % sea_ice
Running  16384 gridpoints with  1.0 % sea_ice
Running  32768 gridpoints with  1.0 % sea_ice
Running  65536 gridpoints with  1.0 % sea_ice
Running  131072 gridpoints with  1.0 % sea_ice
Running  262144 gridpoints with  1.0 % sea_ice
Running  524288 gridpoints with  1.0 % sea_ice
Running  1048576 gridpoints with  1.0 % sea_ice
Running  2097152 gridpoints with  1.0 % sea_ice
Running  4194304 gridpoints with  1.0 % sea_ice
Running  32 gridpoints with  5.0 % sea_ice
Running  64 gridpoints with  5.0 % sea_ice
Running  128 gridpoints with  5.0 % sea_ice
Running  256 gridpoints with  5.0 % sea_ice
Running  512 gridpoints with  5.0 % sea_ice
Running  1024 gridpoints with  5.0 % sea_ice
Running  2048 gridpoints with  5.0 % sea_ice
Running  4096 gridpoints with  5.0 % sea_ice
Running  8192 gridpoints with  5.0 % sea_ice
Running  16384 gridpoints with  5.0 % sea_ice
Running  32768 gridpoints with  5.0 % sea_ice
Running  65536 gridpoints with  5.0 % sea_ice
Running  131072 gridpoints with  5.0 % sea_ice
Running  262144 gridpoints with  5.0 % sea_ice
Running  524288 gridpoints with  5.0 % sea_ice
Running  1048576 gridpoints with  5.0 % sea_ice
Running  2097152 gridpoints with  5.0 % sea_ice
Running  4194304 gridpoints with  5.0 % sea_ice
slurmstepd: error: *** STEP 25614500.0 ON nid02356 CANCELLED AT 2020-09-12T03:31:10 DUE TO TIME LIMIT ***
slurmstepd: error: *** JOB 25614500 ON nid02356 CANCELLED AT 2020-09-12T03:31:10 DUE TO TIME LIMIT ***
srun: Job step aborted: Waiting up to 92 seconds for job step to finish.
srun: got SIGCONT
srun: forcing job termination
