    1    32      0.00     0.064
    2    32      0.00     0.010
    3    32      0.00     0.009
    4    32      0.00     0.009
    5    32      0.00     0.020
    6    32      0.00     0.009
    7    32      0.00     0.019
    8    32      0.00     0.006
    9    32      0.00     0.008
   10    32      0.00     0.008
    1    32      0.01     0.009
    2    32      0.01     0.006
    3    32      0.01     0.010
    4    32      0.01     0.009
    5    32      0.01     0.007
    6    32      0.01     0.009
    7    32      0.01     0.008
    8    32      0.01     0.007
    9    32      0.01     0.008
   10    32      0.01     0.014
    1    32      0.05     0.017
    2    32      0.05     0.013
    3    32      0.05     0.010
    4    32      0.05     0.012
    5    32      0.05     0.009
    6    32      0.05     0.013
    7    32      0.05     0.009
    8    32      0.05     0.009
    9    32      0.05     0.009
   10    32      0.05     0.009
    1    32      0.10     0.013
    2    32      0.10     0.021
    3    32      0.10     0.010
    4    32      0.10     0.010
    5    32      0.10     0.011
    6    32      0.10     0.010
    7    32      0.10     0.010
    8    32      0.10     0.008
    9    32      0.10     0.009
   10    32      0.10     0.009
    1    32      0.25     0.016
    2    32      0.25     0.014
    3    32      0.25     0.012
    4    32      0.25     0.012
    5    32      0.25     0.013
    6    32      0.25     0.012
    7    32      0.25     0.012
    8    32      0.25     0.012
    9    32      0.25     0.013
   10    32      0.25     0.012
    1    32      0.50     0.021
    2    32      0.50     0.017
    3    32      0.50     0.016
    4    32      0.50     0.017
    5    32      0.50     0.017
    6    32      0.50     0.017
    7    32      0.50     0.016
    8    32      0.50     0.017
    9    32      0.50     0.028
   10    32      0.50     0.018
    1    32      0.75     0.030
    2    32      0.75     0.023
    3    32      0.75     0.022
    4    32      0.75     0.022
    5    32      0.75     0.022
    6    32      0.75     0.022
    7    32      0.75     0.022
    8    32      0.75     0.022
    9    32      0.75     0.023
   10    32      0.75     0.029
    1    32      0.90     0.037
    2    32      0.90     0.025
    3    32      0.90     0.027
    4    32      0.90     0.032
    5    32      0.90     0.038
    6    32      0.90     0.024
    7    32      0.90     0.024
    8    32      0.90     0.024
    9    32      0.90     0.024
   10    32      0.90     0.025
    1    32      0.95     0.032
    2    32      0.95     0.026
    3    32      0.95     0.025
    4    32      0.95     0.031
    5    32      0.95     0.025
    6    32      0.95     0.025
    7    32      0.95     0.025
    8    32      0.95     0.025
    9    32      0.95     0.027
   10    32      0.95     0.026
    1    32      0.99     0.034
    2    32      0.99     0.027
    3    32      0.99     0.027
    4    32      0.99     0.027
    5    32      0.99     0.026
    6    32      0.99     0.025
    7    32      0.99     0.027
    8    32      0.99     0.027
    9    32      0.99     0.027
   10    32      0.99     0.029
    1    32      1.00     0.037
    2    32      1.00     0.027
    3    32      1.00     0.027
    4    32      1.00     0.026
    5    32      1.00     0.026
    6    32      1.00     0.027
    7    32      1.00     0.027
    8    32      1.00     0.027
    9    32      1.00     0.027
   10    32      1.00     0.026
    1    64      0.00     0.014
    2    64      0.00     0.008
    3    64      0.00     0.007
    4    64      0.00     0.008
    5    64      0.00     0.009
    6    64      0.00     0.009
    7    64      0.00     0.008
    8    64      0.00     0.010
    9    64      0.00     0.008
   10    64      0.00     0.008
    1    64      0.01     0.013
    2    64      0.01     0.008
    3    64      0.01     0.008
    4    64      0.01     0.008
    5    64      0.01     0.009
    6    64      0.01     0.008
    7    64      0.01     0.009
    8    64      0.01     0.009
    9    64      0.01     0.017
   10    64      0.01     0.009
    1    64      0.05     0.012
    2    64      0.05     0.010
    3    64      0.05     0.014
    4    64      0.05     0.010
    5    64      0.05     0.010
    6    64      0.05     0.010
    7    64      0.05     0.010
    8    64      0.05     0.010
    9    64      0.05     0.011
   10    64      0.05     0.010
    1    64      0.10     0.019
    2    64      0.10     0.013
    3    64      0.10     0.016
    4    64      0.10     0.012
    5    64      0.10     0.015
    6    64      0.10     0.014
    7    64      0.10     0.014
    8    64      0.10     0.012
    9    64      0.10     0.012
   10    64      0.10     0.012
    1    64      0.25     0.025
    2    64      0.25     0.018
    3    64      0.25     0.017
    4    64      0.25     0.021
    5    64      0.25     0.017
    6    64      0.25     0.018
    7    64      0.25     0.018
    8    64      0.25     0.018
    9    64      0.25     0.019
   10    64      0.25     0.018
    1    64      0.50     0.038
    2    64      0.50     0.028
    3    64      0.50     0.032
    4    64      0.50     0.028
    5    64      0.50     0.033
    6    64      0.50     0.026
    7    64      0.50     0.028
    8    64      0.50     0.028
    9    64      0.50     0.028
   10    64      0.50     0.027
    1    64      0.75     0.047
    2    64      0.75     0.037
    3    64      0.75     0.037
    4    64      0.75     0.037
    5    64      0.75     0.038
    6    64      0.75     0.038
    7    64      0.75     0.044
    8    64      0.75     0.038
    9    64      0.75     0.037
   10    64      0.75     0.042
    1    64      0.90     0.054
    2    64      0.90     0.043
    3    64      0.90     0.042
    4    64      0.90     0.042
    5    64      0.90     0.042
    6    64      0.90     0.042
    7    64      0.90     0.042
    8    64      0.90     0.042
    9    64      0.90     0.043
   10    64      0.90     0.042
    1    64      0.95     0.056
    2    64      0.95     0.044
    3    64      0.95     0.045
    4    64      0.95     0.044
    5    64      0.95     0.044
    6    64      0.95     0.044
    7    64      0.95     0.044
    8    64      0.95     0.044
    9    64      0.95     0.044
   10    64      0.95     0.044
    1    64      0.99     0.058
    2    64      0.99     0.045
    3    64      0.99     0.045
    4    64      0.99     0.046
    5    64      0.99     0.046
    6    64      0.99     0.046
    7    64      0.99     0.046
    8    64      0.99     0.045
    9    64      0.99     0.045
   10    64      0.99     0.046
    1    64      1.00     0.060
    2    64      1.00     0.046
    3    64      1.00     0.047
    4    64      1.00     0.046
    5    64      1.00     0.046
